time, vel, T_target, T_estimate
1.619,16.420429,0.012000,0.009535
1.620,16.420429,0.012000,0.009535
1.621,16.420429,0.012000,0.009535
1.622,16.420429,0.012000,0.009535
1.623,16.420429,0.012000,0.009535
1.624,16.420429,0.012000,0.009535
1.625,16.420429,0.012000,0.009535
1.626,16.420429,0.012000,0.009535
1.627,16.473221,0.012000,0.009535
1.628,16.473221,0.012000,0.009535
1.629,16.473221,0.012000,0.009535
1.630,16.424530,0.012000,0.009535
1.631,16.424530,0.012000,0.009535
1.632,16.479490,0.012000,0.009535
1.633,16.479490,0.012000,0.009535
1.634,16.479490,0.012000,0.009535
1.635,16.479490,0.012000,0.009535
1.636,16.479490,0.012000,0.009535
1.637,16.479490,0.012000,0.009535
1.638,16.479490,0.012000,0.009535
1.639,16.535433,0.012000,0.009535
1.640,16.535433,0.012000,0.009535
1.641,16.535433,0.012000,0.009535
1.642,16.588224,0.012000,0.009535
1.643,16.588224,0.012000,0.009535
1.644,16.588224,0.012000,0.009535
1.645,16.539534,0.012000,0.009535
1.646,16.539534,0.012000,0.009535
1.647,16.594494,0.012000,0.009535
1.648,16.594494,0.012000,0.009535
1.649,16.594494,0.012000,0.009535
1.650,16.646116,0.012000,0.009535
1.651,16.646116,0.012000,0.009535
1.652,16.646116,0.012000,0.009535
1.653,16.646116,0.012000,0.009535
1.654,16.646116,0.012000,0.009535
1.655,16.646116,0.012000,0.009535
1.656,16.646116,0.012000,0.009535
1.657,16.698908,0.012000,0.009535
1.658,16.698908,0.012000,0.009535
1.659,16.650217,0.012000,0.009535
1.660,16.650217,0.012000,0.009535
1.661,16.650217,0.012000,0.009535
1.662,16.705177,0.012000,0.009535
1.663,16.705177,0.012000,0.009535
1.664,16.705177,0.012000,0.009535
1.665,16.705177,0.012000,0.009535
1.666,16.705177,0.012000,0.009535
1.667,16.705177,0.012000,0.009535
1.668,16.705177,0.012000,0.009535
1.669,16.705177,0.012000,0.009535
1.670,16.705177,0.012000,0.009535
1.671,16.705177,0.012000,0.009535
1.672,16.757969,0.012000,0.009535
1.673,16.757969,0.012000,0.009535
1.674,16.709278,0.012000,0.009535
1.675,16.709278,0.012000,0.009535
1.676,16.709278,0.012000,0.012382
1.677,16.709278,0.012000,0.010621
1.678,16.709278,0.012000,0.007802
1.679,16.815861,0.012000,0.007802
1.680,16.815861,0.012000,0.007802
1.681,16.815861,0.012000,0.007802
1.682,16.815861,0.012000,0.007802
1.683,16.815861,0.012000,0.007802
1.684,16.815861,0.012000,0.007802
1.685,16.815861,0.012000,0.007802
1.686,16.815861,0.012000,0.007802
1.687,16.868652,0.012000,0.007802
1.688,16.868652,0.012000,0.007802
1.689,16.819962,0.012000,0.007802
1.690,16.819962,0.012000,0.012157
1.691,16.819962,0.012000,0.012038
1.692,16.874922,0.012000,0.012038
1.693,16.874922,0.012000,0.012038
1.694,16.874922,0.012000,0.012038
1.695,16.874922,0.012000,0.012038
1.696,16.874922,0.012000,0.012038
1.697,16.874922,0.012000,0.012038
1.698,16.874922,0.012000,0.008144
1.699,16.874922,0.012000,0.012841
1.700,16.874922,0.012000,0.011780
1.701,16.874922,0.012000,0.011695
1.702,16.983656,0.012000,0.011695
1.703,16.983656,0.012000,0.011695
1.704,16.983656,0.012000,0.014748
1.705,16.983656,0.012000,0.011858
1.706,16.983656,0.012000,0.010827
1.707,16.983656,0.012000,0.008182
1.708,16.941235,0.012000,0.008182
1.709,16.941235,0.012000,0.008182
1.710,16.941235,0.012000,0.012966
1.711,16.941235,0.012000,0.013962
1.712,16.941235,0.012000,0.009125
1.713,16.941235,0.012000,0.009125
1.714,16.941235,0.012000,0.010152
1.715,16.941235,0.012000,0.010152
1.716,16.941235,0.012000,0.011673
1.717,16.941235,0.012000,0.009770
1.718,16.941235,0.012000,0.014375
1.719,16.941235,0.012000,0.014865
1.720,16.941235,0.012000,0.011447
1.721,16.941235,0.012000,0.010806
1.722,16.941235,0.012000,0.006323
1.723,16.941235,0.012000,0.009647
1.724,16.941235,0.012000,0.013852
1.725,16.941235,0.012000,0.013065
1.726,16.941235,0.012000,0.011638
1.727,16.941235,0.012000,0.007822
1.728,16.941235,0.012000,0.012115
1.729,16.941235,0.012000,0.013447
1.730,16.941235,0.012000,0.013101
1.731,16.941235,0.012000,0.012733
1.732,16.941235,0.012000,0.009044
1.733,16.941235,0.012000,0.012740
1.734,16.941235,0.012000,0.013308
1.735,16.941235,0.012000,0.012573
1.736,16.941235,0.012000,0.010335
1.737,16.941235,0.012000,0.008949
1.738,16.941235,0.012000,0.012457
1.739,16.941235,0.012000,0.011253
1.740,16.941235,0.012000,0.012203
1.741,16.941235,0.012000,0.009391
1.742,16.941235,0.012000,0.008173
1.743,16.941235,0.012000,0.012495
1.744,16.941235,0.012000,0.011194
1.745,16.941235,0.012000,0.010375
1.746,16.941235,0.012000,0.009110
1.747,16.941235,0.012000,0.016044
1.748,16.941235,0.012000,0.014300
1.749,16.941235,0.012000,0.009622
1.750,16.941235,0.012000,0.006923
1.751,16.941235,0.012000,0.006141
1.752,16.941235,0.012000,0.011942
1.753,16.941235,0.012000,0.016504
1.754,16.941235,0.012000,0.015019
1.755,16.941235,0.012000,0.012565
1.756,16.941235,0.012000,0.008512
1.757,16.941235,0.012000,0.013093
1.758,16.941235,0.012000,0.012794
1.759,16.941235,0.012000,0.011402
1.760,16.941235,0.012000,0.010065
1.761,17.229864,0.012000,0.010065
1.762,17.229864,0.012000,0.010065
1.763,17.229864,0.012000,0.012830
1.764,17.229864,0.012000,0.010193
1.765,17.229864,0.012000,0.008378
1.766,17.229864,0.012000,0.010595
1.767,17.229864,0.012000,0.014855
1.768,17.229864,0.012000,0.012298
1.769,17.229864,0.012000,0.012599
1.770,17.229864,0.012000,0.006610
1.771,17.229864,0.012000,0.010403
1.772,17.229864,0.012000,0.012746
1.773,17.229864,0.012000,0.010079
1.774,17.333296,0.012000,0.010079
1.775,17.333296,0.012000,0.010079
1.776,17.284605,0.012000,0.010079
1.777,17.284605,0.012000,0.010079
1.778,17.339565,0.012000,0.010079
1.779,17.339565,0.012000,0.009537
1.780,17.339565,0.012000,0.008413
1.781,17.339565,0.012000,0.014163
1.782,17.339565,0.012000,0.014412
1.783,17.339565,0.012000,0.014308
1.784,17.339565,0.012000,0.009637
1.785,17.339565,0.012000,0.008709
1.786,17.391188,0.012000,0.008709
1.787,17.391188,0.012000,0.008709
1.788,17.443979,0.012000,0.008709
1.789,17.443979,0.012000,0.008709
1.791,17.395288,0.012000,0.008709
1.792,17.395288,0.012000,0.008709
1.793,17.395288,0.012000,0.008709
1.794,17.395288,0.012000,0.008709
1.795,17.395288,0.012000,0.008709
1.796,17.395288,0.012000,0.009944
1.797,17.395288,0.012000,0.012828
1.798,17.395288,0.012000,0.014235
1.799,17.395288,0.012000,0.012589
1.800,17.395288,0.012000,0.008453
1.801,17.395288,0.012000,0.012033
1.802,17.395288,0.012000,0.012332
1.803,17.499702,0.012000,0.012332
1.804,17.499702,0.012000,0.012332
1.805,17.451012,0.012000,0.012332
1.806,17.451012,0.012000,0.012332
1.807,17.505972,0.012000,0.012332
1.808,17.505972,0.012000,0.012332
1.809,17.505972,0.012000,0.012332
1.810,17.505972,0.012000,0.009950
1.811,17.557594,0.012000,0.009950
1.812,17.509100,0.012000,0.009950
1.813,17.509100,0.012000,0.009950
1.814,17.509100,0.012000,0.007370
1.815,17.565042,0.012000,0.007370
1.816,17.565042,0.012000,0.007370
1.817,17.617834,0.012000,0.007370
1.818,17.617834,0.012000,0.007370
1.819,17.569143,0.012000,0.007370
1.820,17.569143,0.012000,0.007370
1.821,17.624104,0.012000,0.007370
1.822,17.624104,0.012000,0.007370
1.823,17.624104,0.012000,0.007370
1.824,17.624104,0.012000,0.007370
1.825,17.624104,0.012000,0.007370
1.826,17.624104,0.012000,0.007370
1.827,17.624104,0.012000,0.007370
1.828,17.624104,0.012000,0.007370
1.829,17.624104,0.012000,0.007370
1.830,17.624104,0.012000,0.007370
1.831,17.729687,0.012000,0.007370
1.832,17.729687,0.012000,0.007370
1.833,17.680996,0.012000,0.007370
1.834,17.680996,0.012000,0.007370
1.835,17.680996,0.012000,0.007370
1.836,17.735956,0.012000,0.007370
1.837,17.735956,0.012000,0.007370
1.838,17.735956,0.012000,0.007370
1.839,17.735956,0.012000,0.007370
1.840,17.735956,0.012000,0.007370
1.841,17.735956,0.012000,0.007370
1.842,17.735956,0.012000,0.007370
1.843,17.735956,0.012000,0.007370
1.844,17.735956,0.012000,0.007370
1.845,17.788748,0.012000,0.007370
1.846,17.788748,0.012000,0.007370
1.847,17.740057,0.012000,0.007370
1.848,17.740057,0.012000,0.012958
1.849,17.740057,0.012000,0.012371
1.850,17.740057,0.012000,0.010160
1.851,17.795017,0.012000,0.010160
1.852,17.846640,0.012000,0.010160
1.853,17.846640,0.012000,0.010160
1.854,17.798145,0.012000,0.010160
1.855,17.798145,0.012000,0.010160
1.856,17.742203,0.012000,0.010160
1.857,17.742203,0.012000,0.010160
1.858,17.742203,0.012000,0.010160
1.859,17.847786,0.012000,0.010160
1.860,17.847786,0.012000,0.010160
1.861,17.799095,0.012000,0.010160
1.862,17.799095,0.012000,0.010160
1.863,17.854055,0.012000,0.010160
1.864,17.854055,0.012000,0.010160
1.865,17.854055,0.012000,0.010160
1.866,17.854055,0.012000,0.010160
1.867,17.854055,0.012000,0.013246
1.868,17.854055,0.012000,0.013411
1.869,17.854055,0.012000,0.008405
1.870,17.854055,0.012000,0.011308
1.871,17.854055,0.012000,0.011260
1.872,17.909998,0.012000,0.011260
1.873,17.962790,0.012000,0.011260
1.874,17.962790,0.012000,0.011260
1.875,17.914099,0.012000,0.011260
1.876,17.914099,0.012000,0.011260
1.877,17.969059,0.012000,0.011260
1.878,17.969059,0.012000,0.011260
1.879,17.969059,0.012000,0.011260
1.880,17.969059,0.012000,0.011260
1.881,17.969059,0.012000,0.015106
1.882,17.969059,0.012000,0.013656
1.883,17.969059,0.012000,0.008564
1.884,17.969059,0.012000,0.012273
1.885,17.969059,0.012000,0.014117
1.886,17.969059,0.012000,0.012040
1.887,17.969059,0.012000,0.009629
1.888,17.965908,0.012000,0.009629
1.889,17.917217,0.012000,0.009629
1.890,17.917217,0.012000,0.009629
1.891,17.917217,0.012000,0.010793
1.892,17.917217,0.012000,0.009815
1.893,17.917217,0.012000,0.014087
1.894,17.917217,0.012000,0.014200
1.895,17.917217,0.012000,0.014206
1.896,17.917217,0.012000,0.010470
1.897,17.917217,0.012000,0.005029
1.898,17.917217,0.012000,0.010100
1.899,17.917217,0.012000,0.011150
1.900,17.917217,0.012000,0.010800
1.901,17.917217,0.012000,0.009034
1.902,18.080912,0.012000,0.009034
1.903,18.032221,0.012000,0.009034
1.904,18.032221,0.012000,0.009034
1.905,18.032221,0.012000,0.011135
1.906,18.032221,0.012000,0.007106
1.907,18.032221,0.012000,0.010437
1.908,18.032221,0.012000,0.013324
1.909,18.032221,0.012000,0.014171
1.910,18.032221,0.012000,0.010905
1.911,18.087181,0.012000,0.010905
1.912,18.087181,0.012000,0.010905
1.913,18.087181,0.012000,0.010905
1.914,18.139973,0.012000,0.010905
1.915,18.139973,0.012000,0.010323
1.916,18.139973,0.012000,0.015082
1.917,18.139973,0.012000,0.016249
1.918,18.139973,0.012000,0.010942
1.919,18.139973,0.012000,0.009816
1.920,18.139973,0.012000,0.004701
1.921,18.139973,0.012000,0.009629
1.922,18.139973,0.012000,0.012206
1.923,18.139973,0.012000,0.012403
1.924,18.139973,0.012000,0.008296
1.925,18.139973,0.012000,0.010884
1.926,18.139973,0.012000,0.014542
1.927,18.139973,0.012000,0.013227
1.928,18.139973,0.012000,0.010514
1.929,18.139973,0.012000,0.010781
1.930,18.139973,0.012000,0.015976
1.931,18.139973,0.012000,0.013319
1.932,18.139973,0.012000,0.012002
1.933,18.139973,0.012000,0.009357
1.934,18.139973,0.012000,0.009971
1.935,18.139973,0.012000,0.015206
1.936,18.139973,0.012000,0.012524
1.937,18.139973,0.012000,0.012264
1.938,18.139973,0.012000,0.006871
1.939,18.139973,0.012000,0.011351
1.940,18.139973,0.012000,0.010971
1.941,18.139973,0.012000,0.009577
1.942,18.139973,0.012000,0.006862
1.943,18.205084,0.012000,0.006862
